title,nizam,ceded,vizag,east,west,krishna,guntur,nellore,WW,month,director,producer,composer,cast
iSmart Sankar,14,5.57,3.85,2.05,1.75,2.05,1.83,1.03,35.31,July,"Puri Jagannadh, A.R. Sreedhar","Puri Connects, Puri Jagannadh Touring Talkies",Mani Sharma,"Ram Pothineni, Satyadev Kancharana, Nabha Natesh, Nidhhi Agerwal, Puneet Issar"
Jai Lava Kusa,15.8,11.6,7.14,5.6,3.7,4.7,6.05,2.4,73.54,September,Bobby Kolli,NTR Arts,Devi Sri Prasad,"N.T. Rama Rao Jr., Raashi Khanna, Nivetha Thomas, Ronit Roy, Krishna Murali Posani"
Jai Simha,4.36,5.6,3.75,2.55,2.1,1.67,2.5,1.31,27.47,January,K.S. Ravikumar,CK Entertainments,Chirantan Bhatt,"Nandamuri Balakrishna, Nayanthara, Haripriya, Natasha Doshi, Prakash Raj"
Janatha Garage,18.95,11.7,7.41,4.7,4.05,4.41,5.75,2.32,80.05,September,Koratala Siva,Mythri Movie Makers,Devi Sri Prasad,"N.T. Rama Rao Jr., Mohanlal, Samantha Ruth Prabhu, Nithya Menen, Kajal Aggarwal"
Jathi Ratnalu,11.9,3.05,3.1,1.44,1.27,1.38,1.63,0.65,28.45,March,Anudeep K.V.,Swapna Cinema,Radhan,"Naveen Polishetty, Rahul Ramakrishna, Priyadarshi Pulikonda, Faria Abdullah, Keerthy Suresh"
Jaya Janaki Nayaka,5.49,4.3,3.04,1.68,1.3,1.35,1.72,0.95,21.73,August,Boyapati Srinu,Dwaraka Creations,Devi Sri Prasad,"Sai Srinivas Bellamkonda, Rakul Preet Singh, Jagapathi Babu, Pragya Jaiswal, R. Sarathkumar"
Jersey,9.75,2,2.7,1.55,1.05,1.58,0.152,0.7,28.25,April,Gowtam Tinnanuri,Sithara Entertainments,Anirudh Ravichander,"Nani, Shraddha Srinath, Sathyaraj, Ronit Kamra, Harish Kalyan"
Kalki,76.9,21.4,18.4,10.55,8.05,9.53,9.2,4.72,483.65,June,Nag Ashwin,Vyjayanthi Movies,Santhosh Narayanan,"Prabhas, Amitabh Bachchan, Kamal Haasan, Deepika Padukone, Disha Patani"
Karthikeya 2,12.2,4.95,4.72,2.32,1.64,2.28,2.44,1.13,56.53,August,Chandoo Mondeti,"Abhishek Agarwal Arts, People Media Factory",Kaala Bhairava,"Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu, Adithya Menon"
Katama Rayudu,15.3,8.3,6.25,5.35,4.24,3.7,4.95,2.08,61.69,March,Kishore Kumar Pardasani,Northstar Entertainment,Anup Rubens,"Pawan Kalyan, Shruti Haasan, Ajay, Rao Ramesh, Mohammad Ali"
Khaidi No. 150,19.8,15.3,13.1,8.17,6.05,5.75,7.4,3.45,104.86,January,V.V. Vinayak,"Konidela Production Company, Lyca Productions",Devi Sri Prasad,"Chiranjeevi, Kajal Aggarwal, Tarun Arora, Mohammad Ali, Mahesh Achanta"
Krack,7.45,4.2,2.88,2.09,2.12,1.61,1.91,1.22,25.29,January,Gopichand Malineni,Saraswathi Films Division,Sonu Sinha,"Ravi Teja, Shruti Haasan, Sudhakar Komakula, Samuthirakani, Varalaxmi Sarathkumar"
Krishnarjuna Yuddham,5.15,1.55,1.45,0.93,0.65,0.92,1,0.49,14.49,April,Merlapaka Gandhi,"Aditya Movies, Shine Screens",Hiphop Tamizha Adhi,"Nani, Anupama Parameswaran, Rukshar Dhillon, Brahmaji, Devadarshini Chetan"
LIE,3.1,1.12,1.16,0.66,0.35,0.59,0.61,0.29,9.48,August,Hanu Raghavapudi,14 Reels Entertainment,Mani Sharma,"Nithiin, Megha Akash, Ravi Kishan, Prudhviraj, Brahmaji"
Love Story,10.2,3.45,1.91,1.35,0.9,1.1,1.29,0.69,26.94,September,Sekhar Kammula,"Amigos Creations, Sree Venkateswara Cinemas",Pawan Ch,"Naga Chaitanya Akkineni, Sai Pallavi, Rajeev Kanakala, Easwari Rao, Devayani"
Mahanati,11.8,2.72,4,2.52,1.61,2.38,2.15,0.86,46.1,May,Nag Ashwin,"Swapna Cinema, Vyjayanthi Movies",Mickey J. Meyer,"Keerthy Suresh, Dulquer Salmaan, Samantha Ruth Prabhu, Vijay Deverakonda, Rajendra Prasad, "
Mahanubhavudu,6,2.56,2.81,1.7,1.1,1.63,1.88,0.59,22.97,September,Maruthi Dasari,UV Creations,S. Thaman,"Sharwanand, Mehreen Pirzada, Nasser, Kalyani Natarajan, Vennela Kishore"
Maharshi,29,10.2,11.2,7.3,6.05,5.8,7.7,2.75,101.12,May,Vamshi Paidipally,"PVP Cinema, Sri Venkateswara Creations, Vyjayanthi Movies",Devi Sri Prasad,"Mahesh Babu, Allari Naresh, Pooja Hegde, Jagapathi Babu, Prakash Raj"
Majili,12.6,4.45,4.8,1.85,1.4,1.83,2.15,0.96,36.25,April,Shiva Nirvana,Shine Screens,Gopi Sundar,"Samantha Ruth Prabhu, Atul Kulkarni, Divyansha Kaushik, Suhas, Ankith Koyya"
Majnu,4.65,1.57,1.6,1.13,0.88,0.82,0.9,0.4,15.19,September,Virinchi Varma,"Anandi Art Creations, Keva Movies",Gopi Sundar,"Nani, Riya Suman, Anu Emmanuel, Priya Shri, Keshav Deepak"
MCA,14.22,5.25,2.1,2.45,1.81,2.11,1.26,1.08,39.84,December,Venu Sriram,"Sri Venkateswara Creations, Dil Raju Production",Devi Sri Prasad,"Nani, Sai Pallavi, Bhoomika Chawla, Rajeev Kanakala, Vijay Varma"
Mirchi,15.11,7.51,4.2,2.9,2.65,2.75,3.71,1.67,47.7,February,Koratala Siva,UV Creations,Devi Sri Prasad,"Prabhas, Anushka Shetty, Richa Langella, Sathyaraj, Nadia Moidu"
Most Eligible Bachelor,5.05,2.75,1.59,0.78,0.63,0.8,1.04,0.58,16.23,October,Bommarillu Baskar,GA2 Pictures,Gopi Sundar,"Akhil Akkineni, Pooja Hegde, Neha Shetty, Murli Sharma, V. Jayaprakash"
Mr. Majnu,3.19,1.08,1.01,0.56,0.43,0.66,0.92,0.26,10.21,January,Venky Atluri,"Goldmines Telefilms, Sri Venkateswara Cine Chitra",S. Thaman,"Akhil Akkineni, Nidhhi Agerwal, Izabelle Leite, Farah Karimaee, Raja Chembolu"
Naa Peru Surya,12.55,6.95,5.3,3.65,2.81,2.65,4.05,1.61,51.44,May,Vakkantham Vamsi,Ramalakshmi Cine Creations,Vishal Dadlani,"Allu Arjun, Arjun Sarja, R. Sarathkumar, Anu Emmanuel, Thakur Anoop Singh"
Naayak,11.75,7.95,5,3.21,2.76,2.35,2.67,2.04,47.38,January,V.V. Vinayak,"Universal Media, Goldmines Telefilms",S. Thaman,"Ram Charan, Kajal Aggarwal, Amala Paul, Brahmanandam, Pradeep Singh Rawat"
Nani's Gang Leader,6.6,1.75,2.25,1.33,1,1.2,1.24,0.57,22.23,September,Vikram K. Kumar,Mythri Movie Makers,Anirudh Ravichander,"Nani, Kartikeya Gummakonda, Lakshmi, Saranya Ponvannan, Priyanka Arulmohan"
Nannaku Prematho,11.48,6.75,3.89,3.12,2.47,2.38,3.3,1.55,53.59,January,Sukumar,"Reliance Entertainment, Sri Venkateswara Cine Chitra",Devi Sri Prasad,"N.T. Rama Rao Jr., Rakul Preet Singh, Jagapathi Babu, Rajendra Prasad, Rajeev Kanakala"
Nene Raju Nene Manthri,8.58,3.09,3,1.9,1,1.5,1.54,0.58,25.04,August,Teja,"Blue Planet Entertainments, Suresh Productions",Anup Rubens,"Rana Daggubati, Kajal Aggarwal, Catherine Tresa, Mahesh Achanta, Ajay"
Ninnu Kori,9.55,2.75,3.25,1.8,1.15,1.55,1.5,0.65,28.56,July,Shiva Nirvana,"DVV Entertainment, Kona Film Corporation",Gopi Sundar,"Nani, Nivetha Thomas, Aadhi, Tanikella Bharani, Murli Sharma"
NTR:Kathanayakudu,4,1.85,1.8,1.22,1.4,1.4,2.97,0.91,20.61,January,Radha Krishna Jagarlamudi,"Legend3D, NBK Films, Vaarahi Chalana Chitram",M.M. Keeravani,"Nandamuri Balakrishna, Vidya Balan, Kaikala Satyanarayana, Nandamuri Kalyan Ram, Rana Daggubati"
Oh Baby,5,1.65,1.87,0.8,0.7,1.04,0.85,0.4,18.15,February,Radha Krishna Jagarlamudi,"NBK Films, Vaarahi Chalana Chitram, Vibri Media",M.M. Keeravani,"Nandamuri Balakrishna, Sumanth, Krishna Akkulu, Doctor Ali, Anjali"
Om Namo Venkatesaya,2.9,1.19,0.92,0.58,0.5,0.48,0.76,0.35,10.05,February,K. Raghavendra Rao,Sai Krupa Entertainment,M.M. Keeravani,"Nagarjuna Akkineni, Saurabh Raj Jain, Anushka Shetty, Jagapathi Babu, Pragya Jaiswal"
Oopiri,8.45,3.26,3.03,1.95,1.3,1.73,2.14,0.85,52.3,March,Vamshi Paidipally,PVP Cinema,Gopi Sundar,"Nagarjuna Akkineni, Karthi, Tamannaah Bhatia, Prakash Raj, Jayasudha"
Padi Padi Leche Manasu,2.7,0.7,0.73,0.57,0.3,0.48,0.6,0.31,8.12,December,Hanu Raghavapudi,"Sri Lakshmi Venkateshwara Cinemas, Goldmines Telefilms",Vishal Chandrashekhar,"Sharwanand, Sai Pallavi, Sunil, Murli Sharma, Ravi Kale"
Paisa Vasool,3.95,4.4,1.73,1.37,0.98,1.18,2.2,0.74,18.72,September,Puri Jagannadh,Bhavya Creations,Anup Rubens,"Nandamuri Balakrishna, Shriya Saran, Vikramjeet Virk, Musskan Sethi, Kyra Dutt"
Pelli Choopulu,5.3,0.7,0.75,0.58,0.25,0.9,0.62,0.2,15.73,July,Tharun Bhascker Dhaassyam,"Dharmapath Creations, Big Ben Cinemas, Vinoothna Geetha",Vivek Sagar,"Abhay Bethiganti, Keshav Deepak, Vijay Deverakonda, Anish Kuruvilla, Padmaja Lanka"
Prathi Roju Pandage,11.75,3.77,4.4,2.01,1.53,2.01,1.86,0.9,33.08,December,Maruthi Dasari,"GA2 Pictures, Goldmines Telefilms, UV Creations",S. Thaman,"Sai Dharam Tej, Raashi Khanna, Sathyaraj, Rao Ramesh, Vijayakumar"
Pushpa Part 1,37.9,15,7.95,4.7,4.1,4.25,5.35,3.2,186.55,December,Sukumar,"Mythri Movie Makers, Muttamsetty Media",Devi Sri Prasad,"Allu Arjun, Fahadh Faasil, Rashmika Mandanna, Jagadeesh Prathap Bandari, Sunil"
Race Gurram,17.85,8.3,5.11,3.15,2.54,2.47,3.85,1.98,59.35,April,Surender Reddy,"Sri Lakshmi Narasimha Productions, Miraj Entertainment, ODU Movies",S. Thaman,"Allu Arjun, Shruti Haasan, Shaam, Ravi Kishan, Brahmanandam"
Racha,11.6,8.25,4.4,2.92,2.46,2.5,3.85,2.05,47.2,April,Sampath Nandi,"Mega Super Good Films, Goldmines Telefilms",Mani Sharma,"Ram Charan, Tamannaah Bhatia, Ajmal Ameer, Kota Srinivasa Rao, Nassar"
Raja the Great,11.35,4.15,3.91,2.09,1.66,1.82,1.9,0.95,31.04,October,Anil Ravipudi,Sri Venkateswara Creations,Sai Karthik,"Ravi Teja, Mehreen Pirzada, Vivan Bhatena, Radhika Sarathkumar, Srinivasa Reddy"
