name,date,year,director,prod,composer,cast_mem
Bharateeyans,July,2023,Deena Raj,Bharat American Creations,Satya Kashyap,"Shankar Naidu Adusumilli, Sonam Thendup Barphungpa, Rajeswari Chakraborty, Subha Ranjan Mukherjee, Peden Ongmu Namgyal, Suyash Pachauri, Nirroze Putcha, Samaira Sandhu"
Nireekshana,July,2023,Vamsee Krishna Malla,Take Ok Creations,,"Ena Saha, Sai Ronak, Shraddha Das, Brahmaji, Ajay Ghosh, Viva Harsha, Madhunandan, Jithan Ramesh"
Mahishasurudu,July,2023,Ravikumar Gonugunta,Sri Sivarama Arts,Saketh Sairam,"Dhanujayaprasad, Dornalaharibabu, Ravikumar Gonugunta, S. Guruprasad, Richa Kalra, Likhita, Dharani Reddy, Murali Krishna Reddy, Naveenraj Sankarapu, Spandanachowdary"
Natho Nenu,July,2023,Santhi Kumar Turlapati,,Satya Kashyap,"Gopal Krishna Akella, Bhadram, M.S. Chowdary, Rajeev Kanakala, Sai Kumar, Aditya Om, Deepali Rajput, Gowtham Raju, C.V.L. Narasimha Rao, Sreenivas Sai"
Kushi,September,2023,Shiva Nirvana,Mythri Movie Makers,Hesham Abdul Wahab,"Samantha Ruth Prabhu, Vijay Deverakonda, Jayaram, Vennela Kishore, Mohammad Ali, Murli Sharma, Rohini, Saranya Ponvannan, Lakshmi, Srikanth Iyengar"
Bholaa Shankar,August,2023,Meher Ramesh,"AK Entertainments, Creative Commercials",Mahati Swara Sagar,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu, Sushanth, Tarun Arora, Murli Sharma, Tulasi, Sreemukhi, P. Ravi Shankar"
Bedurulanka 2012,August,2023,Clax,Loukya Entertainment,Mani Sharma,"Kartikeya Gummakonda, Neha Shetty, Ajay Ghosh, Satya, Srikanth Iyengar, L.B. Sriram, Goparaju Ramana, Jabardasth Ram Prasad, Rajkumar Kasireddy, Surabhi Prabhavathi"
Gandeevadhari Arjuna,August,2023,Praveen Sattaru,"Cloud9 Studio, Film the Agency, Sri Venkateswara Cine Chitra",Mickey J. Meyer,"Lavanya Tripathi, Nassar, Varun Tej, Vinay Rai, Lee Nicholas Harris, Narain, Sakshi Vaidya, Andrew Rolfe, Barnabás Réti, Jamie Langlands"
Mr. Pregnant,August,2023,Srinivas Vinjanampati,Mic Movies,Shravan Bharadwaj,"Aadish, Ali, Mohammad Ali, Ananth Babu, Abhishek Reddy Bobbala, Brahmaji, Harsha Chemudu, Kalpana, Roopa Kodayur, Roopa Koduvayur"
Miss. Shetty Mr. Polishetty,September,2023,Mahesh Babu P.,UV Creations,Radhan,"Anushka Shetty, Naveen Polishetty, Jayasudha, Nassar, Murli Sharma, Tulasi, Colin Blyth, Debanjan Chatterjee, Keshav Deepak, Abhinav Gomatam"
Mistake,August,2023,Bharrath Komalapati,ASP Media house,Mani Zenna,"Abhinav Sardhar, Ajay Kumar Kathurvar, Teja Ainampudi, Sujith Kumar, Karishma Kumar, Taniya Kalrra, Priya Paul, Sameer, Raja Ravindra"
Jilebi,July,2024,Vijay K. Bhaskar,"Anju Asrani Kreations, SRK Arts, Vijaya Bhaskar Kraft",Mani Sharma,"Sree Kamal, Murli Sharma, Rajendra Prasad, Ankith Koyya, Getup Srinu, Shivani Rajashekar, Saikumar Babloo, Bamchik Babloo"
Nene Naa,August,2023,Caarthick Raju,Apple Tree Studios,Sam C.S.,"Regina Cassandra, Akshara Gowda, V. Jayaprakash, Rachapudi Kaushik, Vennela Kishore, Ravi Raja, Thagubothu Ramesh, Jeeva Ravi"
Ustaad,August,2023,Phanideep,"Krishi Entertainments, Sai Korrapati Production, Vaarahi Chalana Chitram",B. Akeeva,"Gautham Vasudev Menon, Sri Simha Koduri, Ravindra Vijay, Venkatesh Maha, Ravi Siva Teja, Kavya Kalyanram, Anu Hasan, Himank Duvvuru, Prajnay Konigari, Sai Kiran Yedida"
Hebbuli,August,2023,S Krishna,CMB Productions,,"Ravi Kale, Kaveri, Amala Paul, V. Ravichandran, P. Ravi Shankar, Kabir Duhan Singh, Sudeep"
Em Chesthunnav?,August,2023,Bharath Mithra,"NVR Creative Works, Sids Creative World",Gopi Sundar,"Vijay Raj Kumar, Neha Pathan, Amitha Ranganath, Rajeev Kanakala, Aamani, Kancharapalem Raju"
Krishna Gadu Ante Oka Range,August,2023,Rajesh Dondapati,Sri Tejas Productions,,
Madhilo Madhi,August,2023,Prakash Palla,Sklm Creations,Shahrukh Shaik,"Jai Nemukuri, Srinivas Rao, Siri Ravulachari, Yarraboni Sunitha, Sweety Swathi"
